,PubchemFP11,PubchemFP19,PubchemFP33,PubchemFP73,PubchemFP98,PubchemFP129,PubchemFP132,PubchemFP192,PubchemFP199,PubchemFP207,PubchemFP259,PubchemFP293,PubchemFP341,PubchemFP350,PubchemFP362,PubchemFP366,PubchemFP434,PubchemFP476,PubchemFP494,PubchemFP531,PubchemFP545,PubchemFP580,PubchemFP618,PubchemFP716,PubchemFP741,PubchemFP743,PubchemFP776,PubchemFP786,PubchemFP804,PubchemFP837
317,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,2.5543595039162996,3.139608710833702,-0.16012815380508713,2.89529204906564,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,2.123027643911307,5.020647025207423,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
143,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,2.123027643911307,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
474,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
318,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,2.5543595039162996,-0.31851102863530306,-0.16012815380508713,2.89529204906564,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,2.123027643911307,5.020647025207423,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
132,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
645,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
1,-1.571725050606243,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
91,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
520,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,3.355303937965834,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
540,-1.571725050606243,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,3.355303937965834,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
556,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,1.096767318406524,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
77,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,1.096767318406524,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
416,0.636243597195503,0.725330557518903,2.4703853420706974,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,2.7633971188310293,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,3.6158089100606623,2.123027643911307,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
138,0.636243597195503,0.725330557518903,2.4703853420706974,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,2.7633971188310293,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,3.6158089100606623,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
601,0.636243597195503,0.725330557518903,2.4703853420706974,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,2.7633971188310293,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,1.096767318406524,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
39,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,2.5543595039162996,3.139608710833702,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,2.978276325348249,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
103,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
345,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,2.5543595039162996,3.139608710833702,-0.16012815380508713,2.89529204906564,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,3.355303937965834,-0.05136654969375141,-0.2765632877383509,2.123027643911307,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,2.978276325348249,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
325,-1.571725050606243,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
736,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,3.355303937965834,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
190,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,2.123027643911307,-0.19917751536390596,1.3056133939721868,4.033946860424326,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
51,-1.571725050606243,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
162,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
648,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
336,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,5.113008619478079,1.096767318406524,1.05409255338946,3.355303937965834,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
60,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
505,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
465,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,2.5543595039162996,3.139608710833702,-0.16012815380508713,2.89529204906564,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,2.123027643911307,5.020647025207423,1.3056133939721868,4.033946860424326,-0.12666009927622474,-0.05136654969375141,2.978276325348249,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
142,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
577,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,1.096767318406524,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
423,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,2.5543595039162996,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,3.355303937965834,-0.05136654969375141,-0.2765632877383509,2.123027643911307,-0.19917751536390596,1.3056133939721868,4.033946860424326,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
478,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,2.5543595039162996,3.139608710833702,-0.16012815380508713,2.89529204906564,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,3.355303937965834,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
750,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,2.978276325348249,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
705,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
704,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,2.123027643911307,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
637,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,1.096767318406524,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
424,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
552,-1.571725050606243,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
363,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,5.020647025207423,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
578,-1.571725050606243,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
745,0.636243597195503,0.725330557518903,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,2.978276325348249,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
669,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,1.4031215200402283,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
625,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,2.5543595039162996,3.139608710833702,-0.16012815380508713,2.89529204906564,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,2.123027643911307,-0.19917751536390596,1.3056133939721868,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
475,-1.571725050606243,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,1.096767318406524,1.05409255338946,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
644,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,-0.33576468089577627,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
536,0.636243597195503,-1.3786817467344035,-0.40479514793501475,-0.08137884587711594,-0.06295245737090545,-0.06295245737090545,-0.06295245737090545,-0.39148757192040406,-0.31851102863530306,-0.16012815380508713,-0.34538830040400126,-0.36187343222787294,-0.7126966450997985,-0.05136654969375141,-0.19557956467948936,-0.9117704213259056,-0.9486832980505139,-0.2980355933436701,-0.05136654969375141,-0.2765632877383509,-0.4710254258195504,-0.19917751536390596,-0.7659235150442265,-0.2478961757802658,-0.12666009927622474,-0.05136654969375141,2.978276325348249,-0.036297700432031385,-0.12666009927622474,-0.036297700432031385
